time , step-size , {controllerFMU}.controller.fanSpeed , {controllerFMU}.controller.valveOpen , {environmentFMU}.env.OAT_OUT , {environmentFMU}.env.RAT_OUT , {roomFMU}.room.RAT , {wallFMU}.wall.Tisurf
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 16.0 , 16.0
1.0 , 1.0 , 16.0 , 16.0 , 0.0 , 0.0 , 15.999999825020472 , 15.994132570344135
2.0 , 1.0 , 15.999999825020472 , 15.999999825020472 , 0.0 , 0.0 , 16.211608608096522 , 15.988266710275957
3.0 , 1.0 , 16.211608608096522 , 16.211608608096522 , 0.0 , 0.0 , 16.42119210117268 , 15.982402421303075
4.0 , 1.0 , 16.42119210117268 , 16.42119210117268 , 0.0 , 0.0 , 16.631544972919546 , 15.976538532249071
5.0 , 1.0 , 16.631544972919546 , 16.631544972919546 , 0.0 , 0.0 , 16.842564020400488 , 15.970675631445472
6.0 , 1.0 , 16.842564020400488 , 16.842564020400488 , 0.0 , 0.0 , 17.054224875748734 , 15.964813134541744
7.0 , 1.0 , 17.054224875748734 , 17.054224875748734 , 0.0 , 0.0 , 17.266438443041615 , 15.958952215707164
8.0 , 1.0 , 17.266438443041615 , 17.266438443041615 , 0.0 , 0.0 , 17.479178948905343 , 15.953092290484141
9.0 , 1.0 , 17.479178948905343 , 17.479178948905343 , 0.0 , 0.0 , 17.692398311216873 , 15.947233360651875
10.0 , 1.0 , 17.692398311216873 , 17.692398311216873 , 0.0 , 0.0 , 17.90604825613904 , 15.941375427985614
11.0 , 1.0 , 17.90604825613904 , 17.90604825613904 , 0.0 , 0.0 , 18.12008008382561 , 15.93551849425665
12.0 , 1.0 , 18.12008008382561 , 18.12008008382561 , 0.0 , 0.0 , 18.334444715337632 , 15.929662561232407
13.0 , 1.0 , 18.334444715337632 , 18.334444715337632 , 0.0 , 0.0 , 18.549092736854494 , 15.923807630676496
14.0 , 1.0 , 18.549092736854494 , 18.549092736854494 , 0.0 , 0.0 , 18.763974444623397 , 15.917953704348559
15.0 , 1.0 , 18.763974444623397 , 18.763974444623397 , 0.0 , 0.0 , 18.979039890516177 , 15.91210078400436
16.0 , 1.0 , 18.979039890516177 , 18.979039890516177 , 0.0 , 0.0 , 19.194238928106458 , 15.906248871395857
17.0 , 1.0 , 19.194238928106458 , 19.194238928106458 , 0.0 , 0.0 , 19.40952125917925 , 15.900397968271106
18.0 , 1.0 , 19.40952125917925 , 19.40952125917925 , 0.0 , 0.0 , 19.62483648058068 , 15.894548076374287
19.0 , 1.0 , 19.62483648058068 , 19.62483648058068 , 0.0 , 0.0 , 19.840134131314652 , 15.88869919744579
20.0 , 1.0 , 19.840134131314652 , 19.840134131314652 , 0.0 , 0.0 , 20.055363739794995 , 15.882851333222051
21.0 , 1.0 , 20.055363739794995 , 20.055363739794995 , 0.0 , 0.0 , 20.270474871160275 , 15.87700448543577
22.0 , 1.0 , 20.270474871160275 , 20.270474871160275 , 0.0 , 0.0 , 20.48541717455221 , 15.871158655815774
23.0 , 1.0 , 20.48541717455221 , 20.48541717455221 , 0.0 , 0.0 , 20.70014043026971 , 15.865313846087005
24.0 , 1.0 , 20.70014043026971 , 20.70014043026971 , 0.0 , 0.0 , 20.91459459670047 , 15.859470057970737
25.0 , 1.0 , 20.91459459670047 , 20.91459459670047 , 0.0 , 0.0 , 21.128729856937195 , 15.853627293184285
26.0 , 1.0 , 21.128729856937195 , 21.128729856937195 , 0.0 , 0.0 , 21.3424966649898 , 15.84778555344124
27.0 , 1.0 , 21.3424966649898 , 21.3424966649898 , 0.0 , 0.0 , 21.555845791497664 , 15.841944840451248
28.0 , 1.0 , 21.555845791497664 , 21.555845791497664 , 0.0 , 0.0 , 21.768728368855868 , 15.836105155920306
29.0 , 1.0 , 21.768728368855868 , 21.768728368855868 , 0.0 , 0.0 , 21.981095935666477 , 15.83026650155055
30.0 , 1.0 , 21.981095935666477 , 21.981095935666477 , 0.0 , 0.0 , 22.192900480431753 , 15.824428879040395
31.0 , 1.0 , 22.192900480431753 , 22.192900480431753 , 0.0 , 0.0 , 22.404094484403505 , 15.818592290084393
32.0 , 1.0 , 22.404094484403505 , 22.404094484403505 , 0.0 , 0.0 , 22.614630963508887 , 15.812756736373341
33.0 , 1.0 , 22.614630963508887 , 22.614630963508887 , 0.0 , 0.0 , 22.824463509278345 , 15.806922219594325
34.0 , 1.0 , 22.824463509278345 , 22.824463509278345 , 0.0 , 0.0 , 23.03352555786691 , 15.801089324726455
35.0 , 1.0 , 23.03352555786691 , 23.03352555786691 , 0.0 , 0.0 , 23.24181378678379 , 15.795256886753462
36.0 , 1.0 , 23.24181378678379 , 23.24181378678379 , 0.0 , 0.0 , 23.449262511773703 , 15.789425490750899
37.0 , 1.0 , 23.449262511773703 , 23.449262511773703 , 0.0 , 0.0 , 23.655828211151047 , 15.783595138390776
38.0 , 1.0 , 23.655828211151047 , 23.655828211151047 , 0.0 , 0.0 , 23.861467926499714 , 15.777765831341414
39.0 , 1.0 , 23.861467926499714 , 23.861467926499714 , 0.0 , 0.0 , 24.066139497508793 , 15.77193757126739
40.0 , 1.0 , 24.066139497508793 , 24.066139497508793 , 0.0 , 0.0 , 24.26980159218894 , 15.76611035982948
41.0 , 1.0 , 24.26980159218894 , 24.26980159218894 , 0.0 , 0.0 , 24.47241373746627 , 15.760284198684824
42.0 , 1.0 , 24.47241373746627 , 24.47241373746627 , 0.0 , 0.0 , 24.673936348234108 , 15.754459089486835
43.0 , 1.0 , 24.673936348234108 , 24.673936348234108 , 0.0 , 0.0 , 24.8743307548411 , 15.748635033885176
